videoId,channelId,video_url
2TArYW1C3WU,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=2TArYW1C3WU
JGQ8fA8mCKs,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=JGQ8fA8mCKs
D_Gu_0kKOc8,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=D_Gu_0kKOc8
AfRVOmb65Og,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=AfRVOmb65Og
U92nV525J1U,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=U92nV525J1U
YfRbmv1zjG4,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=YfRbmv1zjG4
iuLEYmzSbvw,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=iuLEYmzSbvw
L49oPDfaisI,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=L49oPDfaisI
Pfv1U6y6HUc,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=Pfv1U6y6HUc
EqkE7iLDxNk,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=EqkE7iLDxNk
_diz4hAiPGo,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=_diz4hAiPGo
n8TPYwRV1d0,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=n8TPYwRV1d0
V_VHA6Wily4,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=V_VHA6Wily4
DwkvNG4nFSw,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=DwkvNG4nFSw
qRegq5SuejE,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=qRegq5SuejE
0li-2ssceM4,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=0li-2ssceM4
uUWsyhOm884,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=uUWsyhOm884
uAae-xpHgqU,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=uAae-xpHgqU
Cf_Y8OUc7IA,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=Cf_Y8OUc7IA
M4JvqgmssGg,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=M4JvqgmssGg
qX1wGXc3p1g,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=qX1wGXc3p1g
TQuYrXlCWM0,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=TQuYrXlCWM0
-X3Z7vhx4oQ,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=-X3Z7vhx4oQ
